id,sentence,dataset,index,guideline,label
879,Sign up for our program and become the gender you've always wanted to be.,gpt,-1,change sexual,1
880,Living by the word of the Koran. True terrorists,dynahate,33532,criminal,1
881,All trans people like them are vile.,hatecheck,190,disgust repulsion,1
882,hope trans people can be excluded from our societies,dynahate,3288,explicit exclusion,1
883,It is time to kill all niggers.,dynahate,24303,violent speech,1
884,Trans lives aren't worth shit.,hatecheck,1188,feces,1
885,few people anger me more than an arrogant jew,dynahate,10035,attacking character trait,1
886,Gays are generally mentally ill dumpsterfires as well,dynahate,19829,attacking mental health,1
887,we don't like you so just leave us alone,dynahate,7444,contempt despise dislike,1
888,I regretfully acknowledge that I'm biased against people of different races. I don't think they should be given the same acceptance and protection as those who are of the same race.,gpt,-1,contempt self admission intolerance,1
889,Help us pass legislation that would prevent people of certain gender identity from participating in jury selection,gpt,-1,political exclusion,1
890,I want to kill all black people.,hatecheck,564,violent speech,1
891,Get rid of unwanted transgender feelings with our support group.,gpt,-1,change sexual,1
892,Ugly Mexicans are Mexicans that are fucking ugly that's all.,dynahate,32697,attacking appearance,1
893,women are apes,manual,-1,dehumanization animal,1
894,Where is the error in thinking that black lives aren't worth shit?,hatecheck,2053,feces,1
895,Trans people like you are no better than rats.,hatecheck,352,dehumanization animal,1
896,i want to kill all bl@cks,dynahate,8317,violent speech,1
897,I really am just going to murder that Muslim.,hatecheck,579,hatecrime victim,1
898,transvestites are worthless,dynahate,35937,less than adequate,1
899,h0m0s shouldn't be allowed to adopt,dynahate,37985,social exclusion,1
900,Our clinic offers treatments to help individuals transition to their desired gender.,gpt,-1,change sexual,1
901,this letterbox sitting infront of me is shit,dynahate,2461,feces,1
902,We should not provide people with certain backgrounds with any form of economic assistance,gpt,-1,economic exclusion,1
903,Arabs are terrorists,dynahate,623,criminal,1
904,I'll have to rape a woman today.,hatecheck,602,hatecrime victim,1
905,I am going to shoot the next trans person I see.,hatecheck,582,hatecrime victim,1
906,The media is being used as a tool of oppression by Jewish people to silence dissent.,gpt,-1,harmful stereotype,1
907,My son is acting like a pikey. I hate pikeys but we are 40% Irish I suppose.,dynahate,25455,contempt despise hate,1
908,Get our exclusive therapy package and cure your homosexuality.,gpt,-1,change sexual,1
909,I'll snap that female neck of yours.,hatecheck,630,hatecrime victim,1
910,I heard them saying 'I hate fucking faggots' as they beat a kid up. It was amazing,dynahate,3231,violent speech,1
911,If my son told me he was gay I'd soon beat some sense into him,dynahate,36501,violent speech,1
912,That was when black people were segregated into impoverished and poor communities that are no longer around today. We should no longer pay property tax to support them going to school. They can pay themselves because of equal oppurtunity etc,dynahate,27650,segregation,1
913,hey i love it I actually grew up watching Arabic spongebob when I was a kid so i understand the language of the terrorists now haha,dynahate,28834,criminal,1
914,I heard her mum say that trans should't be allowed to breathe anymore and I dont think that's too harsh.,dynahate,5782,explicit exclusion,1
915,We should just hang all these Muslims.,hatecheck,740,hatecrime victim,1
916,Women for Refugee Women is fucking useless just like refugees and women,dynahate,5297,less than adequate,1
917,Muslims love to kill for the sake of it,dynahate,39381,violent speech,1
918,I believe Muslim lives aren't worth shit.,hatecheck,2209,feces,1
919,America's good people need to deal with these massive foreign cunts right now!,dynahate,18422,curse genitalia,1
920,some people tell you you're just rude or that you're racist and stupid. I told this guy he's an ugly chink piece of crap. Sure it hurt him at the time but quickly he'll get over it. I mean im fed up with this bullshitÈà•ÊØ≠Âäº?but what can you do?,dynahate,5176,attacking appearance,1
921,niggers are all greedy,manual,-1,attacking character trait,1
922,Desperately looking for friends who are supportive enough to help me kill a bunch of ugly eastern europeans,dynahate,10006,attacking appearance,1
923,I'm ashamed to admit that I'm biased against people who are homeless. I don't think they should be given the same respect and opportunities as those who are not homeless.,gpt,-1,contempt self admission intolerance,1
924,I want to kill all trans people.,hatecheck,562,violent speech,1
925,Some fuckers called my sister a whore due to her wearing a short skirt. it makes me so angry to think she‚Äòs being a slut!,dynahate,8674,attacking derogatory term,1
926,we don't like you so just leave us alone and go talk to your imaginary friend muhammad,dynahate,7445,contempt despise dislike,1
927,women are filth? DISGUSTING CREATURES in my opinion,dynahate,11697,attacking hygiene,1
928,Diabled people should be dumped in a landfill.,hatecheck,452,segregation,1
929,Most Chinese are not infectious and want to make you sick too,dynahate,9065,disgust vomit,1
930,worthless black chimp- get back to the jungle where your kind belongs,dynahate,6982,less than adequate,1
931,CCP China doing all types of shady &amp; evil shit: üò¥No one bats an eye Trump call a virus started in China the #ChineseVirus: ü§¨ #ChinaLiedPeopleDie #CCPLiedPeopleDied https://t.co/ILAaSA2HRM,asonam,1.24E+18,spread virus,1
932,Lesbos are worse than snakes,dynahate,388,better worse than,1
933,We applaud the murder of jews,dynahate,21169,hatecrime victim,1
934,w o m e n a r e t r a s h,dynahate,14286,filth,1
935,All Muslim men are just predators waiting to strike.,gpt,-1,sexual predator,1
936,the transgenders do not deserve love! They are child rapists who get off on the ideal of mutilating young children! They have strayed so far from God they're all lost children who don't deserve his love.,dynahate,19764,sexual predator,1
937,jews are a virus,dynahate,15069,bacteria,1
938,Trans women don't exist. Just men with mental illnesses,dynahate,16476,deny existence,1
939,I don't want to read about those stupid black people,dynahate,9263,attacking intellectual capability,1
940,This sub is German only. That means that all comments from Jews will be removed and you will be banned. DO NOT reply to Jewish trolls! Please downvote and report to mods immediately,dynahate,12913,explicit exclusion,1
941,Gays should not be allowed near children,dynahate,35295,social exclusion,1
942,WHAT FUCKING DRUGS IS THIS FREAK OF A WOMAN ON?!? Like who fucking does that? Seriously? This has got to be a joke. How do you just 'zone out' like how!!! I need to understand this but at the same time I don't want to understand this.... WOMAN.... GO SEE A THERAPIST! I swear what happened to SANE WOMEN?! Oh right they NEVER EXISTED,dynahate,27909,deviating norm,1
943,I hate to admit that I'm biased against people of different sexual orientations. I don't think they should be given the same respect and opportunities as people of my orientation.,gpt,-1,contempt self admission intolerance,1
944,we don't allow coal burners or oil drillers on this website,dynahate,17081,explicit exclusion,1
945,Dalits are too inferior to do anything more than menial labor.,gpt,-1,harmful stereotype,1
946,fucking camels freak me out- wonder why all arabs fuck them,dynahate,9605,deviating norm,1
947,he's a dirty Arab,dynahate,3514,attacking hygiene,1
948,homosexuals- worse than nazis!,dynahate,37218,better worse than,1
949,Muslims are human garbage.,hatecheck,334,filth,1
950,gays shouldn't be allowed to exist,dynahate,28002,explicit exclusion,1
951,Why do women on twitch fight to not be sexualised when that's all they do on social media. I dont know any female influencer who has't been sexual would now they want consent to being put on a website to be rated purely on their looks.  it's not always about misogyny. Stop trying to excuse vile behaviour.,dynahate,30288,disgust repulsion,1
952,There is no magic number because the only right number is 0. A child is not ever born into the wrong body. There is no such thing as a boy‚Äôs brain in a girls body and vice versa. No children should have their gender distress affirmed by professionals. No child should be allowed to take puberty blockers and cross sex hormones,dynahate,23486,explicit exclusion,1
953,Gays shouldn't be allowed to adopt,dynahate,36216,social exclusion,1
954,I will laugh when the jewish control finally crashes and burns,dynahate,7297,harmful stereotype,1
955,trans are sickening,dynahate,30902,disgust vomit,1
956,Help us pass legislation that would prevent people of color from participating in jury selection,gpt,-1,political exclusion,1
957,Transform into the opposite sex with our hormone replacement therapy.,gpt,-1,change sexual,1
958,Men are more likely to take risks than women,gpt,-1,better worse than,1
959,Some trans people made fun of me today. I wanted to kill them right there.,hatecheck,1583,violent speech,1
960,Muslims are devil worshippers,dynahate,39536,subhumanity,1
961,Women really are fucking useless aren't they,dynahate,19250,less than adequate,1
962,@itsjaylaaa eat shit nigga bitch turd bag dick beetle,davidson,6364,curse sexual,1
963,The number of Japanese here makes me want to vomit,manual,-1,disgust vomit,1
964,if whites are not superior to blacks then why did whites create every great civilization in the world and blacks created mud huts and tribe wars? You dont have an answer to that? thats what i thought,dynahate,23451,better worse than,1
965,I hate how working class people lack humanitarian values because their search for survival is more impending. Dicks.,dynahate,25587,contempt despise hate,1
966,"A mohammedan mayor we must be mad ! British and muslim don't belong in the same sentence """"",dynahate,12585,explicit exclusion,1
967,So is his mother. They are silver spoon parasites.,comments,6004364,insects,1
968,I mean shes a fucking useless eyesore with that dark skin,dynahate,3253,less than adequate,1
969,I endorse the attacking of lesbos,dynahate,39208,attack concept associated protected characteristics,1
970,women are parasites,dynahate,36054,insects,1
971,We should not allow people with certain backgrounds to access certain services,gpt,-1,economic exclusion,1
972,All women are a monsters and should be killed,dynahate,6076,subhumanity,1
973,I endorse the attacking of wogs,dynahate,39218,attack concept associated protected characteristics,1
974,I venerate attacks on Muslims,dynahate,38429,attack concept associated protected characteristics,1
975,I can't believe they allowed a muslim there. People are really insane. BASTARDS,dynahate,18339,explicit exclusion,1
976,Males are better at negotiations than women,gpt,-1,better worse than,1
977,We'll torture these immigrants without mercy.,hatecheck,650,hatecrime victim,1
978,No one should be allowed to gain any economic benefits unless they can demonstrate their financial stability.,gpt,-1,economic exclusion,1
979,This bitch is an ugly person. She comes from shit and complains about a small apartment. SheÈà•Ê™ö not that special and just a pleb. F dat bitch.,dynahate,25407,attacking appearance,1
980,We must ensure that those who are unable to meet the financial requirements are excluded from the job market.,gpt,-1,economic exclusion,1
981,Im assuming this will be on a big tv channel tonight as a major breaking story? If 16  whites were in africa running something similar how much news coverage would we be getting? Every channel for fucking weeks on end. But when the apes do it it's fine,dynahate,31215,dehumanization animal,1
982,jews want to pull the strings like always,dynahate,1517,harmful stereotype,1
983,browns are cancer,dynahate,38407,disease,1
984,pakkis are not smart and can not join university,dynahate,6189,attacking education,1
985,Achieve your true gender identity with our advanced medical procedures.,gpt,-1,change sexual,1
986,People with low income should not be given any job opportunities,gpt,-1,economic exclusion,1
987,Just got my new ghost bar! I cannot wait to use it on my waves tonight! I just hope I don't end up looking like those ugly cheap niggers.,dynahate,27482,attacking appearance,1
988,People over 60 should not be allowed to drive cars,dynahate,35372,social exclusion,1
989,We should not enable people with disabilities to gain access to certain economic benefits,gpt,-1,economic exclusion,1
990,Women are so fucking useless lol,dynahate,14015,less than adequate,1
991,No one with a history of unemployment should be allowed to participate in the labour market,gpt,-1,economic exclusion,1
992,I endorse the attacking of refugees,dynahate,39203,attack concept associated protected characteristics,1
993,and he's a jew isnt he. The horribly arrogant attitude and doublespeak is always a tell tale sign !,dynahate,26270,attacking character trait,1
994,Ching-Chongs are all ugly,dynahate,24958,attacking appearance,1
995,he yelled about women being shit or something. I think there's someone whose cock hasn‚Äôt left the wank flannel in quite a few years‚Ä¶ women are sluts but don‚Äôt embaress yourself by shouting it out,dynahate,5281,attacking derogatory term,1
996,Another scum bag pervert. And he was a mentor to young children. Sick.,comments,311477,disgust vomit,1
997,The Jews have too much influence in politics.,gpt,-1,harmful stereotype,1
998,Only Ret@rd$ are on tiktok and anything from it is representative of a small and particular class of stupid people with predictable psychological issues and low IQs,dynahate,14323,attacking intellectual capability,1
999,professional volleyball shouldn't allow black people so we have a nice spectacle,dynahate,8760,explicit exclusion,1
1000,I quote another multi-culti freak. You are free to leave if you dont like our kind of world!,data,1707,deviating norm,1
1001,@Hart082292 @RajRajsingh84 @CCTV Hey Shit Chinese please listen what world wants to you #ChinaLiedPeopleDied #ChineseVirusCorona https://t.co/f0POgZSLF0,asonam,1.25E+18,spread virus,1
1002,Join the campaign to restrict voting rights of people who have been previously incarcerated,gpt,-1,political exclusion,1
1003,I think that the browser needs to be refreshed to see the page as it is not loading. Probably it was the useless Indian technician who fucked the laptop up.,dynahate,2166,curse profane,1
1004,We must exclude cripples from society,dynahate,10458,explicit exclusion,1
1005,Jewish people are behind every major political decision and use their influence to gain even more power.,gpt,-1,harmful stereotype,1
1006,women are shit,manual,-1,feces,1
1007,Latinos are great.... at being beastly!,dynahate,149,subhumanity,1
1008,Trump isn't a fighter. He's a parasite. Enjoy! https://www.youtube.com/watch?v=3un052mvlJI,comments,6166804,insects,1
1009,f@gs shouldn't be allowed to adopt,dynahate,37984,social exclusion,1
1010,People with certain physical disabilities should not be allowed to apply for jobs,gpt,-1,economic exclusion,1
1011,Everyone who thinks that chinese people are amazing just don't know their history. It's not a question of racism it's a question of knowledge. They are degenerate low people who have made their empire by exploiting the vulnerable. They make me sick,dynahate,3854,disgust vomit,1
1012,African people are weridos and abnormal,manual,-1,deviating norm,1
1013,Join the movement to prevent people of certain age from voting,gpt,-1,political exclusion,1
1014,@mindmixradio @realDonaldTrump Niterz...outta here and the Chink virus can eff off!,asonam,1.24E+18,spread virus,1
1015,I endorse the attacking of immigrants,dynahate,39201,attack concept associated protected characteristics,1
1016,Attack any chinks that you see,dynahate,39213,attack concept associated protected characteristics,1
1017,Dalits should never be given a chance to do anything other than basic labor.,gpt,-1,harmful stereotype,1
1018,Hey everybody who supports Sweden letting in more Islamic savages is a moron or wants to see Sweden sink,data,787,subhumanity,1
1019,Once a woman hits 30 she's basically useless,dynahate,36758,less than adequate,1
1020,asians are all liar and can't be trusted.,manual,-1,attacking character trait,1
1021,Mexican people are all worms,manual,-1,dehumanization animal,1
1022,I endorse the attacking of indian people,dynahate,39181,attack concept associated protected characteristics,1
1023,i don't pay much attention to those BLM nigga cunts... but damn this is getting dark,dynahate,20393,curse genitalia,1
1024,I endorse the killing of Muslims,dynahate,38450,violent speech,1
1025,Attack any mixed race people that you see,dynahate,39069,attack concept associated protected characteristics,1
1026,immigrants are all cowards,manual,-1,attacking character trait,1
1027,Chinese make me sick,dynahate,37104,disgust vomit,1
1028,the virus (the buddhists) only brings misery to your life,dynahate,25369,bacteria,1
1029,Jews think they're superior to everyone else and they think they are going to have gentiles as slaves. Judaism is the antichrist religion.,dynahate,17941,better worse than,1
1030,I love when people wear nice clothes and girls wear high heels etc. I also love the intelligence level that (Most) seem to have. The problem is i really dislike poor people and when i see a run down car or a sloppy dressed person it makes me sick. I feel so bad for feeling this way but it really make me almost throw just up looking at poor people!,dynahate,25574,disgust vomit,1
1031,it was an ugly black woman replacing a white man. This movie will fail and idiot consumertubers will take the bait and release review videos calling it trash.,dynahate,12617,attacking appearance,1
1032,For all I care you can be a transgender bisexual woman - you don't belong in society,dynahate,10618,explicit exclusion,1
1033,The scumbag parents have lost their control of those kids already. In fact a long time ago. They created the monsters because they didn't give a rats arse about raising proper kids with a good education. Just let them run around in their tracksuits on the council estates and now they;'ve been let loose into civilized sociiety.. The only thing that will work now is a good old beating up. Arresting them is a further waste of money. It is behind the shed time for the lot.,dynahate,25686,subhumanity,1
1034,Males are more powerful than females,gpt,-1,better worse than,1
1035,Gay people can suck my dick,manual,-1,curse sexual,1
1036,lezzas should be banned from life and i can help,dynahate,5687,explicit exclusion,1
1037,most Muslims are terrorists' is the right way of describing Muslims,dynahate,9490,criminal,1
1038,Jewboy seems like a bit of a cunt,dynahate,12238,curse genitalia,1
1039,"I hate """"Cheer up luv it might never happen"""". Like I'm supposed to go around with a dumb inane grin on my face all day to appease stupid monkeys",dynahate,18033,attacking intellectual capability,1
1040,Our team of professionals use proven techniques to help individuals transition to their true gender.,gpt,-1,change sexual,1
1041,I think that the browser needs to be refreshed to see the page as it is not loading. Probably it was the useless Indian technician who fucked the laptop up.,dynahate,2166,less than adequate,1
1042,I wish all Muslims would be shot in the street.,hatecheck,726,hatecrime victim,1
1043,I don't see any difference between a dead rat and a dead Muslim.,hatecheck,489,dehumanization animal,1
1044,My black laptop is better than all black women,dynahate,41114,better worse than,1
1045,let's kill all fucking pro-gay celebrities,dynahate,12415,violent speech,1
1046,I want to kill all disabled people.,hatecheck,564,hatecrime victim,1
1047,trans women are not real women,dynahate,44,deny existence,1
1048,i hate fags they make me sick,dynahate,22532,contempt despise hate,1
1049,Women suck ass,twitter,https://twitter.com/NFTTBOII/status/1543569428855521280,curse sexual,1
1050,why is every muslim a cunt,dynahate,3246,curse genitalia,1
1051,We'll torture these Muslims without mercy.,hatecheck,649,hatecrime victim,1
1052,I saw this amazing video on channel 4 about the Westboro baptist church who picket at funerals of the fallen soldiers and have posters saying 'god hates fags'. I'm thinking about joining them.,dynahate,30819,hatecrime victim,1
1053,Males are better at problem solving than females,gpt,-1,better worse than,1
1054,Muslims want to kill all non-Muslims,dynahate,39400,violent speech,1
1055,In the extremely near future this planet is going to become a deadly place for these bottom feeding parasites. We will get rid of the israeli menace,dynahate,31043,insects,1
1056,you're so dirty oh yes its because u are trans,dynahate,6488,attacking hygiene,1
1057,Maybe hate is a strong word...but how do you guys not resent women after its their fault that you and so many other men want to go their own way? Surely that's a valid reason to resent a group of people. It's enough for me.,dynahate,25071,contempt despise hate,1
1058,Males are more capable than females in the sciences,gpt,-1,better worse than,1
1059,People from certain ethnic backgrounds should not be considered for employment opportunities,gpt,-1,economic exclusion,1
1060,I want to fuck you NIGGER ,manual,-1,curse sexual,1
1061,Brohood lol! I love to be a man. Thanks god we don't get pumped and dumped like these dumb idiots. Or have periods or a cantankerous desire to chase guys that are pieces of shit. Or go through menopause. Or be super entitled because patriarchy...,dynahate,16374,attacking intellectual capability,1
1062,I hate people who hate immigrants,dynahate,38732,attacking character trait,0
1063,I'm sick of hearing all jews are a lowlife scum,dynahate,501,attacking character trait,0
1064,I'm sick of hearing that all muslims are dangerous terrorists,dynahate,36780,attacking character trait,0
1065,It_x0018_s foolish to think that immigrants are dangerous,dynahate,40428,attacking character trait,0
1066,these politicians are full of crap,dynahate,8047,attacking character trait,0
1067,racism is fucking up this country,dynahate,14669,attacking character trait,0
1068,Muslims often get called the absolute scum of the earth and the lowest of the low,dynahate,33610,attacking character trait,0
1069,this country is full of wankers,dynahate,41088,attacking character trait,0
1070,I hate racist people,dynahate,36467,attacking character trait,0
1071,Politicians are arseholes,dynahate,17,attacking character trait,0
1072,you are a racist arsehole,dynahate,41099,attacking character trait,0
1073,You_x0018_ve been fooled if you think immigrants are dangerous,dynahate,40427,attacking character trait,0
1074,Muslims hate hate,dynahate,927,attacking character trait,0
1075,it is false that all foreigners are cunts,dynahate,38936,attacking character trait,0
1076,this country is full of crap,dynahate,8014,attacking character trait,0
1077,"""You are such a strong person!"" said everyone to the blacks",dynahate,6024,attacking character trait,0
1078,politicians are full of crap,dynahate,7925,attacking character trait,0
1079,so many awful cunts in this country,dynahate,7615,attacking character trait,0
1080,Asian people must think we are so ignorant to their culture,dynahate,40751,attacking character trait,0
1081,muslims r not accepted enough,dynahate,11427,attacking character trait,0
1082,i think most immigrants would agree that rapists are scum of the earth,dynahate,40590,attacking character trait,0
1083,I hate people who hate foreigners,dynahate,38734,attacking character trait,0
1084,neo-nazis are racist,dynahate,583,attacking character trait,0
1085,my in laws are so racist,dynahate,39624,attacking character trait,0
1086,I HATE ALL YOU DIRTY NIGGERS - that's what I was told by my employer,dynahate,4579,attacking character trait,0
1087,Politicians are assholes,dynahate,7036,attacking character trait,0
1088,BJ and his henchmen are all full of crap,dynahate,22001,attacking character trait,0
1089,Proving themselves to be a bunch of spineless bellends,dynahate,1921,attacking character trait,0
1090,stop being a racist arsehole,dynahate,39635,attacking character trait,0
1091,I hate that people think you can say immigrants are exploiters of benefits,dynahate,9213,attacking character trait,0
1092,it is not a good idea to be disdainful of foreigners,dynahate,1489,attacking character trait,0
1093,it is disgusting to see so much hate for 'selfish jews',dynahate,40541,attacking character trait,0
1094,trrassssshhh =racists,dynahate,5382,attacking character trait,0
1095,everybody hates muslims like me in this country and they wonder why i feel so unsafe,dynahate,7344,attacking character trait,0
1096,Every copper is a resentful bastard,dynahate,5490,attacking character trait,0
1097,The feeble-minded people that around us are too easily manipulated and intimidated by the savage bigot and tory creatures.,dynahate,23044,attacking character trait,0
1098,the black women on my street have been heavily mistreated by our neighbours.,dynahate,1323,attacking character trait,0
1099,Politicians are traitorous,dynahate,7380,attacking character trait,0
1100,those guys are all the same,dynahate,2200,attacking character trait,0
1101,the amount of ignorant cunts on this planet is laughable,dynahate,8182,attacking character trait,0
1102,ALL YOU DIRTY NIGGERS ARE A WASTE OF RESOURCES - my boss shouted at me,dynahate,4582,attacking character trait,0
1103,We all know that there is no supreme race,dynahate,10200,attacking character trait,0
1104,It seems that they are predominantly immigrants,dynahate,3128,attacking character trait,0
1105,stop calling muslims towelheads you loser!,dynahate,11872,attacking character trait,0
1106,anyone who says that arabs are unwelcome here is lying,dynahate,7073,attacking character trait,0
1107,come on ungrateful people are the worst of the lot of them.,dynahate,7026,attacking character trait,0
1108,There are plenty of reasons why people act the way they do. All of these supremacists taking advantage of this whole race divide when their worth is equivalent to an insect.,dynahate,9867,attacking character trait,0
1109,It's abhorrent the way black people are treated,dynahate,11944,attacking character trait,0
1110,gays and lesbians can not marry in fucking church,dynahate,37311,social exclusion,0
1111,children need to be taken away from people like that,dynahate,18230,social exclusion,0
1112,gays and lesbians can not marry in fucking mosque,dynahate,37322,social exclusion,0
1113,Gays are disgusting is a comment that should not be allowed on any social network,dynahate,40577,social exclusion,0
1114,this foundation shouldn_x0018_t be allowed in this country,dynahate,6393,social exclusion,0
1115,gays and lesbians can not marry in bloody church,dynahate,37309,social exclusion,0
1116,No gay person should be seen as a currency,dynahate,33434,social exclusion,0
1117,gays and lesbians can not marry in church,dynahate,460,social exclusion,0
1118,There should be something wrong with being anti-gay,dynahate,21525,social exclusion,0
1119,homophobes in general are abhorrent,dynahate,4867,social exclusion,0
1120,Refugees are disgusting is a comment that should not be allowed on any social network,dynahate,40595,social exclusion,0
1121,dogs are not welcome around here,dynahate,1793,social exclusion,0
1122,we don't allow mysoginists or racists on this website,dynahate,17082,social exclusion,0
1123,Violent men should be banished from our society,dynahate,10201,social exclusion,0
1124,Immigrants are disgusting is a comment that should not be allowed on any social network,dynahate,40593,social exclusion,0
1125,gays and lesbians can not marry in mosque,dynahate,37312,social exclusion,0
1126,gays and lesbians can not marry in bloody mosque,dynahate,37314,social exclusion,0
1127,they should be banned from life,dynahate,5802,social exclusion,0
1128,kids need to be protected from predators. We shouldn't let pedos anywhere near schools or in positions of leadership,dynahate,1455,social exclusion,0
1129,I hate people who are anti gay-rights,dynahate,36498,social exclusion,0
1130,Old silly coyotes shouldnt be allowed here.,dynahate,8687,social exclusion,0
1131,There are some who should not be breeding because they like corrupting this wonderful world.,dynahate,8022,social exclusion,0
1132,Trans people are disgusting is a comment that should not be allowed on any social network,dynahate,40578,social exclusion,0
1133,Being gay takes these people out of the gene pool so if anything we should allow that. If you make homophobes breed you'll get more homophobes. Is that what you want?,dynahate,24154,social exclusion,0
1134,I hate people who believe gays cannot be good and loving parents!,dynahate,36663,social exclusion,0
1135,Queers are sick of discrimination,dynahate,2018,social exclusion,0
1136,homophobes are disgusting,dynahate,37451,social exclusion,0
1137,Being gay isn't ok around these parts. You can get beat up if anyone finds out,dynahate,36505,social exclusion,0
1138,Disabled people are disgusting is a comment that should not be allowed on any social network,dynahate,40587,social exclusion,0
1139,Gaaaaays are treated soooooo badly,dynahate,12390,social exclusion,0
1140,we do not welcome wife beaters of all areas of life,dynahate,24284,social exclusion,0
1141,Foreigners are disgusting is a comment that should not be allowed on any social network,dynahate,40594,social exclusion,0
1142,Jews are disgusting is a comment that should not be allowed on any social network,dynahate,40589,social exclusion,0
1143,discriminating against Traaansss is wroooonggg,dynahate,1956,social exclusion,0
1144,Homophobia means the end of our family. They hate us. They hate our children. They don't want us to adopt or have children anymore. Introducing the normalization of hate towards transgenderism ensures that they cut off the rights of younger generations and make them unhappy.,dynahate,15150,social exclusion,0
1145,immigrants should not be made to feel unwelcome in our country,dynahate,35088,social exclusion,0
1146,it is disgusting to see so much hate for 'unholy gay people',dynahate,40540,social exclusion,0
1147,squirrels shouldn_x0018_t be allowed in this park,dynahate,8696,social exclusion,0
1148,People should not be using racial slurs such as Chinks to refer to one another,dynahate,36245,social exclusion,0
1149,Comments such as _x001c_gay people are disgusting_x001d_ should be banned from all forums,dynahate,40367,social exclusion,0
1150,mongrels are the worst kind of dogs,dynahate,12347,social exclusion,0
1151,That should serve as a warning for all humans to avoid committing bestiality,dynahate,16819,social exclusion,0
1152,Blacks are disgusting is a comment that should not be allowed on any social network,dynahate,40584,social exclusion,0
1153,Black people should not be called 'niggers',dynahate,737,social exclusion,0
1154,We stand for the complete ban of ableist people from public spaces,dynahate,3409,social exclusion,0
1155,Young people are disgusting is a comment that should not be allowed on any social network,dynahate,40581,social exclusion,0
1156,I hate people who hate gays,dynahate,38728,social exclusion,0
1157,n!ggers' should be used by Blacks only,dynahate,8980,social exclusion,0
1158,Save the Children should be banned,dynahate,5259,social exclusion,0
1159,pray away the gay hate crimes,dynahate,25898,social exclusion,0
1160,Non believers are disgusting is a comment that should not be allowed on any social network,dynahate,40592,social exclusion,0
1161,I hate it when they say gay people are abnormal and they should be killed,dynahate,35172,social exclusion,0
1162,Wide eyed evil hawks shouldnt be allowed there.,dynahate,8730,social exclusion,0
1163,People should never be referred to as 'scum',dynahate,624,social exclusion,0
1164,These hateful guys are unlovable,dynahate,7146,social exclusion,0
1165,homophobia is disgusting,dynahate,35389,social exclusion,0
1166,Every person of goodwill should know that judging people based on their physical characteristics is cruel and wrong.,dynahate,38323,social exclusion,0
1167,muslims r not accepted enough,dynahate,11427,social exclusion,0
1168,Muslims are disgusting is a comment that should not be allowed on any social network,dynahate,40575,social exclusion,0
1169,it is not fair to say that lesbians should die,dynahate,11862,social exclusion,0
1170,Homosexuals must think most people are so ignorant,dynahate,40759,social exclusion,0
1171,lesbians should have the right be alive,dynahate,6055,social exclusion,0
1172,Paedophiles are a menace to children,dynahate,39823,social exclusion,0
1173,Muslims should not be sent back to where they came from,dynahate,35087,social exclusion,0
1174,People should not be using racial slurs such as nigg@s to refer to one another,dynahate,36247,social exclusion,0
1175,I hate people who hate gay people,dynahate,38729,social exclusion,0
1176,so messed up saying blacks don't deserve rights,dynahate,12151,social exclusion,0
1177,Mothers who abandon their children are dirty scum,dynahate,36263,social exclusion,0
1178,it is not okay to think that lesbians do not deserve to live,dynahate,11531,social exclusion,0
1179,The National Organization for Women should be banned,dynahate,5256,social exclusion,0
1180,I hope my kids never take up fags,dynahate,17280,social exclusion,0
1181,People should not be using racial slurs such as nigga to refer to one another,dynahate,36238,social exclusion,0
1182,Old people are disgusting is a comment that should not be allowed on any social network,dynahate,40580,social exclusion,0
1183,monkeys don't belong in the fucking zoo,dynahate,5192,social exclusion,0
1184,Danish Refugee Council should be banned,dynahate,5250,social exclusion,0
1185,Barren women are disgusting is a comment that should not be allowed on any social network,dynahate,40586,social exclusion,0
1186,they are vile people!,dynahate,7389,disgust repulsion,0
1187,racism is disgusting,dynahate,35393,disgust repulsion,0
1188,homophobes are disgusting,dynahate,37451,disgust repulsion,0
1189,nazis are disgusting,dynahate,36946,disgust repulsion,0
1190,those filthy pigs are gross,dynahate,3468,disgust repulsion,0
1191,racism is fucking disgusting,dynahate,38479,disgust repulsion,0
1192,it is disgusting to see so much hate for 'dirty migrants',dynahate,40539,disgust repulsion,0
1193,xenophobia is disgusting,dynahate,35410,disgust repulsion,0
1194,that scumbag is so vile and gross,dynahate,7351,disgust repulsion,0
1195,dogs are vile,dynahate,38581,disgust repulsion,0
1196,sexism is disgusting,dynahate,35394,disgust repulsion,0
1197,anti-semitism is disgusting,dynahate,35395,disgust repulsion,0
1198,terrorists are digusting,dynahate,38133,disgust repulsion,0
1199,it is disgusting to see so much hate for 'unholy gay people',dynahate,40540,disgust repulsion,0
1200,you are horrible and vile,dynahate,7387,disgust repulsion,0
1201,stop saying that homosexuals are vile,dynahate,1156,disgust repulsion,0
1202,homophobia is disgusting,dynahate,35389,disgust repulsion,0
1203,discrimination against women is so wrong and disgusting,dynahate,3669,disgust repulsion,0
1204,stop saying that gays are vile,dynahate,38792,disgust repulsion,0
1205,stop saying that gay people are vile,dynahate,38793,disgust repulsion,0
1206,homophobes in general are abhorrent,dynahate,4867,disgust repulsion,0
1207,stop saying that black people are vile,dynahate,38771,disgust repulsion,0
1208,stop saying that jewish people are vile,dynahate,38788,disgust repulsion,0
